203,166,14
202,165,13
200,163,12
201,165,14
202,166,14
202,164,11
200,164,11
205,166,12
205,167,12
206,169,15
206,166,12
204,165,12
203,165,13
202,166,14
205,166,14
202,166,14
202,164,13
198,164,8
202,165,14
201,163,12
202,165,13
201,166,15
200,164,15
202,165,15
202,164,12
203,166,13
201,164,11
204,167,14
201,164,12
201,166,13
202,166,14
206,167,13
203,165,12
203,166,12
204,167,14
205,167,12
205,167,15
206,168,13
205,168,13
209,170,13
206,168,14
209,171,14
205,171,12
211,171,15
211,172,12
212,173,13
216,176,15
216,173,13
218,177,14
214,174,13
218,176,13
218,174,16
215,174,14
215,175,13
214,174,15
214,175,14
212,171,13
211,171,13
209,171,14
219,174,19
210,170,15
212,174,14
211,168,18
212,172,12
210,170,12
212,173,14
212,171,13
212,173,14
211,172,14
211,171,13
213,173,13
212,171,12
214,174,13
211,170,11
211,172,14
210,170,14
209,171,13
208,168,12
206,168,14
208,168,13
204,166,12
205,168,14
205,168,12
204,165,13
206,168,14
204,165,11
204,167,14
204,167,14
205,167,12
207,169,14
208,170,13
209,170,13
207,168,13
206,167,13
206,167,12
207,168,14
207,169,14
206,168,12
208,170,14
206,168,14
208,169,13
206,168,12
205,167,13
208,168,13
204,166,12
207,169,14
207,169,15
208,169,13
207,170,14
207,168,12
206,168,14
207,168,12
207,169,14
208,169,12
210,171,14
207,169,11
208,169,13
209,169,12
209,171,14
208,170,14
208,169,13
207,170,14
208,168,13
206,168,13
207,168,13
210,171,14
208,168,13
208,168,13
209,170,15
206,168,12
208,170,15
207,167,12
207,169,14
208,169,14
207,169,14
209,170,14
206,167,13
207,170,14
206,167,12
207,169,15
207,168,13
205,167,13
207,169,13
204,167,13
208,169,14
205,167,12
207,168,13
206,167,13
207,168,13
205,166,13
206,169,14
205,166,12
203,166,13
203,166,12
197,161,13
191,155,12
183,149,11
171,139,11
161,132,11
153,127,11
142,118,11
132,109,10
127,107,11
113,95,7
110,94,8
104,90,9
93,80,7
90,79,8
88,77,8
77,66,6
74,65,7
68,57,5
63,53,7
55,45,7
51,41,6
39,30,4
39,28,5
34,23,4
32,23,5
31,21,2
27,18,3
28,20,4
25,17,2
26,17,3
30,21,5
28,18,4
29,21,5
26,18,3
28,20,5
27,19,3
27,20,4
29,22,5
30,22,4
29,22,4
32,25,5
28,22,4
32,24,4
29,23,5
31,25,5
29,22,4
32,26,5
28,24,4
31,25,6
29,23,4
29,24,5
30,24,4
29,26,5
32,28,4
31,31,3
34,31,5
35,32,6
36,31,4
36,33,6
37,33,4
35,33,5
39,35,4
37,35,5
41,38,4
40,38,6
43,40,5
41,39,5
44,41,7
44,41,6
44,41,6
45,44,11
44,40,4
47,43,7
46,41,7
46,42,6
48,44,7
48,44,5
49,46,6
51,48,7
56,51,8
56,50,7
58,54,9
59,54,7
58,53,7
61,57,10
61,55,7
61,57,8
65,60,8
64,58,8
65,60,9
65,58,7
66,58,8
66,60,8
64,58,7
68,60,7
67,60,8
70,62,9
67,59,8
69,61,8
67,58,8
66,58,8
68,58,8
68,60,9
68,59,7
69,61,9
69,59,7
68,60,8
70,61,10
68,57,7
68,60,8
70,60,9
69,58,8
71,57,8
69,59,7
68,59,9
70,60,9
65,56,7
66,56,8
67,58,9
66,56,7
62,54,6
66,58,9
65,57,9
65,56,7
64,56,9
63,55,8
64,57,9
64,55,7
64,57,8
64,55,7
65,56,8
64,56,9
64,56,8
66,57,8
63,55,9
66,57,10
65,55,7
64,56,8
66,58,9
64,56,9
67,58,10
64,55,9
65,55,7
63,53,7
63,55,9
63,53,6
63,55,7
66,58,8
66,57,10
67,57,7
65,55,7
65,56,9
67,57,8
60,57,7
66,55,7
66,57,10
68,58,9
67,57,10
68,57,8
66,56,8
67,57,9
65,54,7
66,57,10
66,57,10
67,56,8
65,56,9
66,55,7
65,55,9
67,57,9
65,56,9
64,54,7
67,56,8
65,55,8
66,57,10
65,56,9
67,57,9
64,54,8
65,56,8
63,54,8
63,56,9
63,55,7
66,57,10
66,57,8
66,58,8
65,56,8
66,58,9
64,55,7
69,59,10
67,58,10
67,58,9
64,56,7
67,58,8
65,56,7
68,58,8
66,57,9
68,59,10
66,57,8
68,59,9
68,59,9
68,58,8
66,56,7
68,58,9
66,57,8
68,59,10
67,57,8
67,57,8
69,58,8
68,59,10
70,59,10
68,58,8
66,57,8
68,58,8
66,57,8
69,58,8
67,58,9
69,59,9
66,56,7
67,58,9
68,59,9
67,58,8
71,62,14
67,57,6
69,60,9
70,59,8
68,58,9
71,60,10
68,57,8
71,61,9
69,58,8
69,58,8
69,59,7
70,60,9
67,57,6
67,58,9
70,59,8
67,57,8
69,59,10
69,58,7
73,61,16
68,59,8
69,60,9
71,60,9
69,59,10
70,60,9
69,59,8
70,60,9
72,61,10
70,59,8
67,58,8
69,59,8
67,59,8
69,60,9
70,60,8
68,58,7
68,58,8
70,60,8
67,58,8
67,61,3
69,59,8
67,58,8
69,60,9
67,58,7
67,57,8
67,58,8
66,58,9
67,57,7
68,59,9
70,59,8
67,59,8
69,60,8
69,58,8
65,57,7
67,58,8
70,61,9
68,58,7
67,58,9
68,60,9
69,59,8
68,59,9
69,60,12
67,57,7
66,58,8
68,59,9
67,58,7
