25,119,24
22,116,24
26,119,25
24,117,24
24,117,24
25,119,25
24,117,23
22,115,23
25,119,25
25,118,24
25,118,26
25,120,26
25,119,25
24,118,24
23,117,25
25,120,25
22,117,23
24,120,25
26,122,28
23,116,23
23,119,25
26,121,25
23,118,25
23,118,25
25,120,24
24,117,22
23,119,25
26,121,26
26,119,25
24,120,24
26,122,25
23,119,24
25,121,26
27,122,25
24,118,23
23,120,25
25,121,23
26,119,25
24,120,25
25,120,26
23,117,25
25,120,25
26,119,24
27,122,25
23,119,22
24,118,23
26,121,24
23,118,23
23,119,24
21,116,21
23,119,24
27,120,24
22,118,21
19,121,21
25,121,23
25,119,24
22,117,22
25,119,24
25,119,23
23,116,23
25,119,24
25,118,23
22,116,23
25,119,24
25,118,24
23,116,22
23,116,22
24,120,26
25,121,23
24,119,21
22,117,22
24,119,25
24,117,23
23,117,22
24,117,25
24,118,23
22,117,22
24,117,25
24,117,25
26,117,24
23,114,24
23,113,24
24,115,25
23,111,22
22,109,22
24,110,24
22,107,22
21,107,23
23,108,23
21,104,22
21,105,23
23,105,23
21,100,22
20,99,23
20,98,23
20,93,22
19,89,23
18,87,23
18,82,21
16,79,20
16,76,20
15,75,22
16,73,21
13,69,21
18,72,26
13,68,20
14,70,22
16,72,21
14,65,19
12,62,18
14,64,21
13,58,19
12,55,17
12,55,19
14,55,19
10,52,17
10,49,18
12,48,17
10,46,17
9,44,16
12,45,16
8,43,14
7,40,15
10,41,16
10,41,15
8,39,15
11,43,15
13,42,20
10,43,15
9,41,15
11,42,17
10,40,14
8,40,15
10,42,17
9,39,15
11,42,17
8,38,15
10,40,16
11,41,16
11,39,16
7,37,14
8,39,16
10,39,16
8,37,13
8,37,15
8,37,15
7,37,14
10,40,15
10,38,15
9,37,15
10,40,16
10,38,15
8,36,15
11,38,15
7,35,14
8,37,16
9,35,14
8,35,15
10,37,16
10,36,15
7,33,14
9,35,15
8,32,13
9,34,16
9,33,13
7,32,14
10,35,16
9,34,14
7,33,14
11,35,15
7,32,13
9,34,16
10,36,17
9,33,14
8,33,15
9,34,16
7,32,14
9,34,15
10,33,14
9,35,15
10,34,15
8,32,13
9,35,16
10,35,15
9,34,16
11,35,16
10,34,15
8,35,16
10,35,15
7,33,14
9,35,16
11,35,16
8,34,14
10,36,16
9,34,13
7,33,14
7,33,14
11,36,15
7,32,14
9,35,15
7,33,13
9,35,16
8,34,15
5,33,13
10,36,15
8,35,15
10,37,16
7,34,13
9,36,15
9,34,14
7,35,15
9,35,13
6,33,14
9,35,16
9,33,14
12,37,17
10,36,16
8,35,15
11,36,15
6,33,12
10,36,15
9,34,14
10,36,17
8,34,14
8,35,15
7,33,14
8,35,14
8,33,15
7,34,15
8,34,14
7,32,14
10,34,15
8,34,16
8,35,15
6,32,14
10,35,16
8,32,14
10,35,16
9,33,14
9,33,16
8,32,13
7,31,14
9,34,13
5,33,14
10,34,17
10,34,15
7,32,14
9,34,15
10,32,14
9,32,14
6,30,11
12,32,16
7,31,14
10,34,16
6,34,15
9,34,15
7,30,14
7,33,14
8,32,16
9,32,14
6,26,12
8,30,15
9,31,15
10,30,14
9,32,15
8,30,14
8,31,15
7,30,14
8,31,15
10,31,15
10,32,17
7,29,13
10,33,13
7,29,14
9,32,16
7,29,14
10,32,16
7,28,13
10,31,15
6,28,12
7,30,14
10,31,15
