5,8,11
5,8,11
4,8,11
3,7,11
4,8,10
4,7,10
5,8,10
4,8,9
3,8,9
2,7,10
3,10,10
5,9,12
5,8,11
5,8,10
6,10,11
6,11,12
6,10,10
10,11,14
6,10,13
6,11,11
6,10,13
6,10,11
6,11,12
8,12,12
7,9,10
7,10,12
2,9,10
5,8,9
4,10,10
5,8,10
4,9,10
5,8,10
3,7,10
5,7,9
6,8,9
7,9,10
5,8,8
6,7,10
7,10,11
5,9,9
6,9,9
5,8,10
4,8,10
3,9,9
3,9,9
3,10,8
5,9,9
6,9,10
4,8,9
5,9,9
6,9,10
4,9,10
6,9,9
5,8,10
6,9,11
7,9,10
4,8,10
4,9,10
4,8,10
5,9,10
5,9,10
4,8,9
7,9,10
4,10,12
5,9,10
5,8,9
5,8,10
8,10,10
5,6,9
7,10,10
6,9,10
7,10,10
6,13,11
7,12,11
5,10,11
6,11,10
6,10,9
7,12,12
5,10,12
6,10,12
8,9,12
5,9,10
6,10,12
5,9,9
6,10,11
6,9,11
5,9,10
7,13,12
7,12,12
7,12,12
6,11,12
5,10,11
5,10,10
8,12,12
8,12,12
6,11,14
3,10,11
4,11,11
5,9,9
6,12,12
5,10,12
4,9,11
5,10,11
6,10,12
7,11,12
7,11,12
7,11,12
7,12,13
8,13,13
7,11,11
5,11,10
7,13,13
7,11,12
6,10,12
7,10,13
6,10,12
6,9,10
6,10,12
5,9,11
4,9,11
7,12,14
5,10,13
6,11,13
6,10,13
4,10,12
5,10,13
5,10,13
5,10,11
4,11,14
6,10,12
5,11,12
7,10,12
6,12,12
5,10,15
7,13,14
8,12,13
5,10,10
6,10,13
7,12,14
4,11,12
2,12,9
7,12,14
7,11,13
4,9,13
7,11,12
6,12,14
1,12,17
6,9,12
6,10,12
6,10,11
7,12,17
5,11,14
6,8,16
7,11,15
6,10,13
6,11,13
7,11,13
7,12,14
9,12,10
7,12,14
7,12,15
7,12,14
5,9,12
6,11,13
6,11,14
7,12,14
4,13,9
4,9,12
4,9,12
4,9,12
5,9,13
6,10,13
