17,98,20
19,100,21
19,98,20
20,99,20
18,98,19
16,97,19
19,99,21
20,100,20
18,98,20
19,101,21
16,97,19
18,99,21
19,100,21
17,98,20
18,100,25
19,101,22
16,100,22
20,102,23
20,99,21
18,100,21
17,100,20
21,102,22
16,99,19
19,101,21
18,98,18
19,101,20
18,98,20
17,99,20
17,98,20
18,101,21
20,100,19
20,102,23
17,98,18
17,98,20
19,98,19
17,99,20
19,101,21
19,99,21
19,101,22
20,102,21
16,98,19
18,99,21
20,96,24
17,99,20
20,99,20
17,99,20
20,100,20
17,99,20
22,103,27
17,97,19
18,99,20
19,97,18
18,100,19
18,99,19
18,99,20
20,99,21
18,98,20
17,98,20
19,98,20
20,99,19
20,99,21
18,96,19
19,98,21
18,96,17
18,97,19
18,97,18
19,95,24
15,93,18
17,93,20
18,93,18
15,92,19
19,93,20
14,90,18
18,90,18
16,91,18
18,91,20
17,92,19
17,94,19
18,89,18
18,92,19
15,90,17
16,91,19
18,91,18
15,89,17
17,92,19
17,91,18
17,91,19
15,90,18
18,90,18
15,88,18
15,88,18
17,90,19
17,89,18
15,88,19
17,90,19
17,90,18
16,89,19
17,90,18
17,90,19
15,88,18
17,91,19
17,90,19
15,88,18
16,91,19
15,89,18
17,91,19
18,90,18
15,90,18
17,92,19
17,92,19
18,92,18
15,90,18
17,92,19
17,91,18
17,90,18
17,92,19
18,91,18
15,90,18
17,91,19
16,90,18
15,90,19
18,92,19
18,90,18
15,90,18
15,91,18
18,91,18
17,89,17
14,91,15
16,89,18
17,91,19
18,91,18
15,90,18
17,90,18
17,90,19
17,91,20
18,91,18
17,89,17
18,91,20
17,90,18
15,90,18
18,91,19
16,89,18
18,91,19
16,89,17
16,90,19
17,92,19
17,90,18
15,89,18
16,89,14
15,89,18
16,91,19
16,90,18
18,90,18
15,88,18
16,88,17
15,87,18
16,88,19
15,88,18
15,88,18
14,86,17
17,90,19
17,89,18
15,85,16
17,88,19
17,87,17
14,85,17
16,88,19
17,87,19
17,87,18
15,85,18
17,87,19
17,86,18
15,85,17
14,83,11
15,85,18
17,87,19
17,87,18
14,85,17
18,87,18
15,86,18
16,88,19
16,87,17
15,87,18
17,89,19
16,87,17
15,87,19
15,88,18
16,86,17
17,88,19
18,88,21
16,85,17
17,86,18
16,84,17
15,83,18
17,83,18
13,79,17
14,78,19
16,73,18
7,64,13
13,66,17
9,51,14
10,46,13
7,33,13
6,29,11
8,26,11
4,19,10
6,19,9
4,17,9
6,17,9
4,15,8
4,17,10
4,18,8
4,20,10
4,20,8
5,24,10
6,25,10
6,27,12
8,28,11
5,26,10
6,27,10
4,22,9
4,21,10
5,21,10
3,18,9
4,18,9
4,17,7
2,18,9
5,18,7
3,17,8
5,17,7
2,16,8
6,20,10
5,18,8
3,18,8
7,21,8
4,20,8
6,22,10
4,20,3
5,22,10
8,24,10
6,23,8
5,26,11
6,26,9
4,24,8
8,27,10
5,26,9
7,26,17
7,29,10
5,26,9
5,26,8
8,28,10
6,28,12
3,26,9
6,27,10
4,26,8
5,28,10
7,27,9
7,29,11
7,27,11
7,27,8
5,26,9
8,29,11
7,26,8
6,25,8
8,27,10
7,23,9
5,24,8
8,25,8
3,23,8
6,24,8
5,28,12
7,26,8
5,25,8
5,26,9
6,28,10
7,27,9
5,26,9
5,27,10
5,26,9
7,28,9
7,27,9
5,27,10
6,29,10
7,29,10
5,27,8
6,30,11
5,28,9
8,30,10
6,27,8
6,29,10
8,30,11
8,29,9
5,28,9
8,31,11
7,30,9
7,30,9
6,31,11
8,33,11
5,29,9
5,30,10
8,33,12
8,31,10
5,30,9
7,32,11
9,33,11
6,30,9
5,30,9
6,32,11
8,33,11
8,33,10
7,31,9
5,30,10
8,33,12
9,33,10
7,32,10
5,31,9
7,32,11
8,34,12
7,32,10
6,32,11
8,35,11
8,33,10
6,32,9
6,32,11
9,33,11
5,32,9
8,35,11
9,34,10
8,33,10
9,36,12
7,33,12
7,34,10
9,35,12
5,34,9
7,33,10
8,35,11
10,34,11
2,37,8
7,34,11
8,35,11
8,33,10
7,35,11
8,36,12
7,33,10
6,36,11
9,36,11
9,35,11
8,36,11
8,35,10
8,36,12
8,35,11
9,34,12
8,35,11
8,35,8
8,34,10
8,36,11
9,35,11
7,35,11
8,34,9
7,34,11
9,36,12
7,32,12
9,37,11
10,33,12
9,36,12
8,35,10
8,34,10
9,36,12
11,34,11
8,35,8
8,35,10
6,31,10
8,35,14
9,35,11
10,36,12
9,35,11
9,36,12
9,35,11
7,34,11
10,35,12
7,34,9
7,34,11
8,34,10
5,31,8
8,36,12
6,34,10
7,34,12
6,33,11
8,36,13
9,35,11
